"H4"||"H"||4||142|||178|||||0|0|0|0|0|0|95|100|100|92|100|100|55|70|95|20|25|60|70|78.8|100||0.1|||0.4|||2.2|||21.7|||54.4||0|17.2|29|||||||0|4|15||||0|0.25|0.5||||1.25|1.4|1.55|||||1.46|||14|28|42|0.02|0.04|0.06||17|||11.1|||2.9|||45||0|1.5|2.9||||0|0|0|0|0|0|".64"|".64"|0|3|5|0|0|0|0|0|0|0|0|0|0|2.1|8|||||||5.6|7|8.4|||||||||||||||||||||||||||||||||"13896622"|"39878314"
"H2"||"H"||2||10|||58|||||0|0|0|0|0|0|95|100|100|92|100|100|65|90|95|25|55|65|44|63.8|91||0.3|||1.1|||3.8|||20.5|||38.1||0|26.2|49|||||||0|10|17||||0|1|2||||1.25|1.4|1.55|||||1.46|||14|28|42|0.06|0.11|0.16|||||17.5|||7.8|||44||0|1.5|2.9|15|15|15|0|2|4|0|0|0|".49"|".49"|0|1|1|0|0|0|0|0|0|0|0|0|0|5.4|9.2|||||||4.5|5.9|7.3|||||||||||||||||||||||||||||||||"13896625"|"39878315"
"H1"||"H"||1||0|||10|||||0|0|0|0|0|0|95|100|100|92|100|100|65|90|95|40|55|65|44|63.2|85||0.3|||1.1|||3.8|||20.3|||37.7||0|26.8|49|||||||0|10|17||||1|2|3||||1.1|1.25|1.4|||||1.31|||14|28|42|0.12|0.15|0.18|||||17.9|||8.1|||49||0|1.5|2.9|15|15|15|0|2|4|0|0|0|".37"|".37"|0|1|1|0|0|0|0|0|0|0|0|0|0|5.5|9.3|||||||4.5|5.9|7.3|||||||||||||||||||||||||||||||||"13896625"|"39878316"
"H4"||"H"||4||142|||178|||||0|0|0|0|0|0|95|100|100|92|100|100|55|70|95|20|25|60|70|78.8|100||0.1|||0.4|||2.2|||21.7|||54.4||0|17.2|29|||||||0|4|15||||0|0.25|0.5||||1.25|1.4|1.55|||||1.46|||14|28|42|0.02|0.04|0.06||17|||11.1|||2.9|||45||0|1.5|2.9||||0|0|0|0|0|0|".64"|".64"|0|3|5|0|0|0|0|0|0|0|0|0|0|2.1|8|||||||5.6|7|8.4|||||||||||||||||||||||||||||||||"13896625"|"39878317"
"H3"||"H"||3||58|||142|||||0|0|0|0|0|0|95|100|100|92|100|100|60|95|95|20|60|75|70|77.9|100||0.1|||0.4|||2.2|||21.4|||53.8||0|17.1|29|||||||0|5|15||||0|0.5|1||||1.25|1.4|1.55|||||1.46|||14|28|42|0.06|0.09|0.12|||||12.2|||3.5|||45||0|1.5|2.9||||0|0|0|0|0|0|".55"|".55"|0|1|1|0|0|0|0|0|0|0|0|0|0|2.7|8.1|||||||5.1|6.2|7.3|||||||||||||||||||||||||||||||||"13896625"|"39878318"
"H1"||"H"||1||0|||178|||||0|0|0|0|3|5|50|75|100|25|50|75|15|27.5|40|0|10|20|86|92.5|100||18.2|||30.6|||22.5|||15.6|||5.6||0|5.5|14|||||||0|2|10||||0|0.1|1||||1|1.15|1.3|||||1.23|||141|141|141|0.03|0.06|0.08||7|||4.1|||0.7|||37||0|1.5|2.9||||0|0|0|0|0|0|".02"|".02"||||0|0|0|0|0|0|0|0|0||||||||||3.6|4.6|5.5|||||||||||||||||||||||||||||||||"13896630"|"39878319"
"H1"||"H"||1||0|||20|||||0|0|0|0|2|10|65|70|90|50|60|75|40|55|70|30|50|65|0|32.1|50||2.7|||3.8|||5.3|||10|||10.3||50|53.9|80|||||||0|14|27||||3|4.5|6||||1.1|1.25|1.4|||||1.33|||14|28|42|0.1|0.14|0.17|||||20.9|||9.3|||36||0|1.5|2.9|40|45|50|5|7.5|10|0|2|7|".15"|".28"|0|0|0|0|0|0|0|0|0|0|0|0||||0|3.3|7.4||||4.5|5.3|6|||||||||||||||||||||||||||||||||"13896636"|"39878320"
"H2"||"H"||2||20|||91|||||0|0|0|0|3|15|45|50|70|30|30|55|25|25|50|20|25|45|0|30.4|52||2.5|||3.6|||5|||9.5|||9.8||28|55.6|80|||||||0|14|27||||0|1|2||||1.25|1.4|1.55|||||1.55|||14|28|42|0.07|0.09|0.11|||||10.9|||4|||19||0|1.5|2.9|25|30|35|5|7.5|10|0|0|1|".10"|".49"|0|0|0|0|0|0|0|0|0|0|0|0||||0|3.9|13.4||||4.5|5.3|6|||||||||||||||||||||||||||||||||"13896636"|"39878321"
"H3"||"H"||3||91|||152|||||0|0|0|0|8|15|35|40|70|20|25|50|15|20|50|10|15|45|0|43.3|52||4.2|||5.8|||7.7|||13.4|||12.2||28|39.7|80|||||||0|17|27||||0|0.5|1||||1.45|1.55|1.65|||||1.77|||14|28|42|0.05|0.07|0.09|||||9.1|||3.8|||13||0|1.5|2.9|25|30|35|5|7.5|10|0|0|1|".05"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|0|9|14.4|||||||5.1|5.8|6.5|||||||||||||||||||||||||||||||||"13896636"|"39878322"
"H1"||"H"||1||0|||20|||||0|0|0|0|0|0|100|100|100|96|100|100|85|95|100|65|80|95|0|26|50||2.1|||3|||4.2|||8.1|||8.6||50|52|80|||||||0|22|27||||3|7|11||||1.35|1.45|1.55|||||1.65|||1.4|7.7|14|0.17|0.19|0.21|||||34.1|||22|||40||3|4.5|5.9|40|52.5|65|10|17.5|25|6|16|31|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|0|19.9|29.3|||||||4.5|5.5|6.5|||||||||||||||||||||||||||||||||"13896639"|"39878323"
